,tuning_group,train_MSE,test_MSE,train_RMSE,test_RMSE,train_MAE,test_MAE,train_MAPE,test_MAPE,train_R2,test_R2,sec_conv,perform_validation,num_train_samples,input_1,input_2,#_epochs,#filters_conv1,filter_size_conv1,act_func_conv1,#filters_conv2,filter_size_conv2,act_func_conv2,dense_neurons,act_func_dense
32,2,52.33311844,281.3975044,7.234163284,16.77490698,5.608018398,12.62536076,15666933.0,148.881049,0.97004813,0.837047577,False,False,17731,30,14,15,512,2,relu,16,5,relu,50,relu
33,2,154.2414551,225.1577932,12.41939831,15.00525885,9.34926033,11.46563584,16426178.0,146.2546951,0.91172266,0.869615078,False,False,17731,30,14,15,512,3,sigmoid,16,5,relu,50,relu
34,2,56.89267731,229.3868879,7.542723656,15.14552369,5.877460003,11.96597294,22262208.0,147.7290021,0.967438519,0.867166042,False,False,17731,30,14,15,512,3,tanh,16,5,relu,50,relu
35,2,31.96345711,246.9007134,5.653623581,15.7130746,4.431232929,11.77204949,15586422.0,145.1580237,0.981706262,0.857024074,False,False,17731,30,14,15,512,3,relu,16,5,relu,50,relu
36,2,147.1322327,245.5006853,12.12980747,15.66846148,9.215818405,11.80007387,15956283.0,149.9326389,0.915791631,0.857834816,False,False,17731,30,14,15,512,4,sigmoid,16,5,relu,50,relu
37,2,39.42079544,297.0254546,6.278598309,17.23442644,4.92111063,13.23611565,19447492.0,142.6912809,0.977438211,0.827997744,False,False,17731,30,14,15,512,4,tanh,16,5,relu,50,relu
38,2,69.08943176,294.7184962,8.312005043,17.16736719,6.379397392,13.25427284,17701858.0,154.811657,0.960457921,0.829333663,False,False,17731,30,14,15,512,4,relu,16,5,relu,50,relu
39,2,118.5312729,232.7191409,10.88720703,15.2551349,8.259918213,11.62115886,13680070.0,148.477232,0.932160735,0.865236402,False,False,17731,30,14,15,512,5,sigmoid,16,5,relu,50,relu
40,2,33.39801788,271.9905024,5.779101849,16.49213456,4.535363197,12.86488493,17927350.0,141.211626,0.980885267,0.842495024,False,False,17731,30,14,15,512,5,tanh,16,5,relu,50,relu
41,2,36.10539627,270.7421639,6.008776665,16.45424455,4.638404369,12.32631446,15503114.0,136.443811,0.979335666,0.843217969,False,False,17731,30,14,15,512,5,relu,16,5,relu,50,relu
42,2,111.5479355,284.4017931,10.56162548,16.86421635,8.079251289,12.69356487,16504568.0,153.8869252,0.936157525,0.835307896,False,False,17731,30,14,15,512,6,sigmoid,16,5,relu,50,relu
43,2,26.13747787,329.6703987,5.112482548,18.15682788,4.000629425,13.88552651,19037570.0,156.6825078,0.985040665,0.809093595,False,False,17731,30,14,15,512,6,tanh,16,5,relu,50,relu
44,2,28.82065964,292.7807553,5.368487835,17.11083736,4.184262753,12.42470818,16888864.0,153.4221213,0.983505011,0.83045578,False,False,17731,30,14,15,512,6,relu,16,5,relu,50,relu
45,2,85.02780914,277.8022368,9.22105217,16.66740042,7.076342583,12.71297921,12036992.0,148.9625335,0.951335967,0.839129567,False,False,17731,30,14,15,512,8,sigmoid,16,5,relu,50,relu
46,2,16.96808434,317.0778645,4.119233608,17.80668033,3.225482225,13.51720613,16206776.0,151.5670758,0.990288615,0.816385746,False,False,17731,30,14,15,512,8,tanh,16,5,relu,50,relu
47,2,20.69344521,347.9645743,4.549005032,18.65380857,3.499117136,14.01344883,18211240.0,150.7568316,0.988156497,0.798499823,False,False,17731,30,14,15,512,8,relu,16,5,relu,50,relu
48,2,61.37809372,344.0987347,7.834417343,18.54989851,6.103433132,14.34423747,17816898.0,158.9536026,0.964871287,0.800738454,False,False,17731,30,14,15,512,10,sigmoid,16,5,relu,50,relu
49,2,14.0115242,343.4931767,3.743196964,18.53356891,2.907707214,14.31411838,15521666.0,147.9606406,0.991980731,0.801089048,False,False,17731,30,14,15,512,10,tanh,16,5,relu,50,relu
50,2,14.91617107,298.9555498,3.862145901,17.29033111,2.977670908,13.27719015,16241008.0,148.3395212,0.991463006,0.826880038,False,False,17731,30,14,15,512,10,relu,16,5,relu,50,relu
51,2,44.50678635,300.8322821,6.671340466,17.34451735,5.196361542,13.55110722,16724345.0,145.3091252,0.974527299,0.825793266,False,False,17731,30,14,15,512,12,sigmoid,16,5,relu,50,relu
52,2,10.92227077,336.2120983,3.304885864,18.33608732,2.557325125,14.10834023,14984516.0,154.234259,0.993748844,0.805305481,False,False,17731,30,14,15,512,12,tanh,16,5,relu,50,relu
53,2,13.50134087,339.4937091,3.674417019,18.42535506,2.822371721,14.21524547,14368221.0,148.0388968,0.992272735,0.803405106,False,False,17731,30,14,15,512,12,relu,16,5,relu,50,relu
54,2,22.79222298,284.331745,4.774120331,16.8621394,3.744858027,13.38557325,17292866.0,148.2121767,0.986955285,0.835348427,False,False,17731,30,14,15,512,15,sigmoid,16,5,relu,50,relu
55,2,7.034523487,306.1272576,2.652267694,17.49649272,2.055098295,13.82374525,11469450.0,154.4462954,0.995973885,0.822727025,False,False,17731,30,14,15,512,15,tanh,16,5,relu,50,relu
56,2,14.07594681,302.7144818,3.751792431,17.39869196,2.814169884,12.952753,15360114.0,147.9406959,0.991943896,0.824703336,False,False,17731,30,14,15,512,15,relu,16,5,relu,50,relu
57,3,319.9693603515625,333.4146166706637,17.88768768310547,18.25964448368762,13.844962120056152,13.563537030220033,57091936.0,152.83374367191664,0.816871702671051,0.8069254159927368,False,False,17731,30,14,4,16,2,sigmoid,16,5,relu,50,relu
58,3,248.7244873046875,258.18249562667427,15.771001815795898,16.068058240704577,12.266791343688965,12.254407699108125,49430576.0,144.16895931927374,0.8576472997665405,0.8504910469055176,False,False,17731,30,14,4,32,2,sigmoid,16,5,relu,50,relu
59,3,225.3668365478516,269.2430005778295,15.01222324371338,16.408625797970696,11.638967514038086,12.358926291465758,38582356.0,153.57018516413854,0.8710149526596069,0.8440860509872437,False,False,17731,30,14,4,48,2,sigmoid,16,5,relu,50,relu
60,3,232.5888671875,251.4309642176829,15.250864028930664,15.856574794629603,11.93498992919922,12.178818724155429,59352292.0,142.52478770378318,0.8668819069862366,0.8544006943702698,False,False,17731,30,14,4,64,2,sigmoid,16,5,relu,50,relu
61,3,227.8149871826172,246.5041682644228,15.093541145324709,15.700451212128357,11.742895126342772,11.927457101345064,41736216.0,146.0519528237461,0.8696141242980957,0.8572537302970886,False,False,17731,30,14,4,80,2,sigmoid,16,5,relu,50,relu
62,3,224.544921875,255.0815861731103,14.984823226928713,15.971273780544566,11.831551551818848,12.46000883102417,69645456.0,144.19492299014712,0.871485710144043,0.852286696434021,False,False,17731,30,14,4,96,2,sigmoid,16,5,relu,50,relu
63,3,218.358154296875,257.51582947225285,14.776947021484377,16.047299756415498,11.583343505859377,12.427443912625312,55938056.0,145.96002430836293,0.8750265836715698,0.8508771061897278,False,False,17731,30,14,4,112,2,sigmoid,16,5,relu,50,relu
