tuning_group,train_MSE,test_MSE,train_RMSE,test_RMSE,train_MAE,test_MAE,train_MAPE,test_MAPE,train_R2,test_R2,scaler,first_window,first_window_type,second_window,second_window_type,drop_nan_train,min_periods,mod_loss,mod_learning_rate,mod_n_estimators,mod_subsample,mod_min_samples_split,mod_min_samples_leaf,mod_max_depth,mod_validation,num_features,train_samples_dropped
1,765.4272372988538,930.1905809529004,27.666355692408313,30.49902590170546,24.898783490586506,26.648050133786406,31.534721967835694,43.14664081818166,0.5592413286496333,0.37509553010378927,,,abs,,avg,True,,squared_error,0.01,50,1.0,2,1,7,,14,0
1,730.4376314355662,934.3748612567674,27.02660969184937,30.567545882140546,24.272398815106637,26.521916009190797,30.895798699607585,43.01388791121736,0.5793895170598065,0.37228451963053055,,,abs,,avg,True,,squared_error,0.01,50,1.0,2,1,9,,14,0
1,481.3915231091138,780.7556919681268,21.940636342392484,27.942005868729733,19.77952620310442,22.21075735630357,26.896910620014175,44.13012783125659,0.7227986178364075,0.4754862801255393,,,abs,,avg,True,,squared_error,0.01,100,1.0,2,1,3,,14,0
1,440.0881142231228,751.5019470463928,20.97827719864343,27.413535836268785,18.80153971599615,21.630737613561653,25.962637378289994,43.6669050092391,0.7465825057564064,0.49513902262489673,,,abs,,avg,True,,squared_error,0.01,100,1.0,2,1,5,,14,0
1,396.5024393691005,746.4677273184444,19.912369004442954,27.321561582721518,17.80464796008608,21.42262117835798,24.940297488884237,43.84388306155556,0.7716805989551297,0.49852102463056314,,,abs,,avg,True,,squared_error,0.01,100,1.0,2,1,7,,14,0
1,343.6010947771225,775.1669908554775,18.536480107537205,27.841820896907542,16.62203915509994,21.810675008900514,23.777080709012115,44.773781723407865,0.8021429671840047,0.4792407841784946,,,abs,,avg,True,,squared_error,0.01,100,1.0,2,1,9,,14,0
1,283.5112850504519,912.9399474430447,16.837793354547735,30.214896118356005,13.925779660503034,21.319678976690685,20.34625837772357,56.21023790712214,0.8367446946980241,0.3866845509018787,,,abs,,avg,True,,squared_error,0.01,200,1.0,2,1,3,,14,0
1,243.7131361911483,956.6518890462567,15.611314364625045,30.92978967025571,12.692169435922956,22.06198243237214,19.042183756336485,61.9553435070781,0.8596618034167225,0.3573187539834596,,,abs,,avg,True,,squared_error,0.01,200,1.0,2,1,5,,14,0
1,186.36471500598756,1035.2161027670318,13.651546249637349,32.174774323482545,11.021986782459425,23.168019411460225,17.221256836906523,69.19763486085215,0.8926849474778262,0.3045391093242975,,,abs,,avg,True,,squared_error,0.01,200,1.0,2,1,7,,14,0
1,120.71973610518673,1065.9893861104888,10.98725334672805,32.64949289208776,9.013804266762714,23.555735417662685,15.139496872993618,71.8433891906063,0.9304855276913613,0.2838655369311982,,,abs,,avg,True,,squared_error,0.01,200,1.0,2,1,9,,14,0
1,245.44842012408395,1063.8826860221814,15.666793549545611,32.61721456565814,11.948748855841686,23.679595216920937,17.63313625106703,80.33057735930169,0.8586625687364995,0.28528082357123863,,,abs,,avg,True,,squared_error,0.01,300,1.0,2,1,3,,14,0
1,196.77654386593866,1174.4186982184547,14.027706293829318,34.26979279509076,10.457343436673957,25.9569895782477,15.659227741724699,121.8401028769519,0.8866894672662334,0.21102244091250166,,,abs,,avg,True,,squared_error,0.01,300,1.0,2,1,5,,14,0
1,131.2801612993079,1268.3150061054757,11.457755508794378,35.61341048124254,8.334817854977517,27.23849387567474,13.038420552558527,153.2158620536147,0.9244044807274702,0.1479426552139177,,,abs,,avg,True,,squared_error,0.01,300,1.0,2,1,7,,14,0
1,70.40236496580106,1309.066672224849,8.390611715828653,36.18102641198628,6.010019243538255,27.798644536400385,10.336471648277971,159.61534801658055,0.9594599573543336,0.12056557912309473,,,abs,,avg,True,,squared_error,0.01,300,1.0,2,1,9,,14,0
