tuning_group,train_MSE,test_MSE,train_RMSE,test_RMSE,train_MAE,test_MAE,train_MAPE,test_MAPE,train_R2,test_R2,sec_conv,perform_validation,num_train_samples,input_1,input_2,#_epochs,#filters_conv1,filter_size_conv1,act_func_conv1,#filters_conv2,filter_size_conv2,act_func_conv2
1,128.8499298095703,246.22959697806056,11.351208686828612,15.69170471867415,8.809746742248535,12.04107246875763,46201036.0,150.5538286283517,0.9267624020576476,0.8574126958847046,False,True,17731,30,14,10,64,5,relu,64,5,relu
1,129.62017822265625,269.1872249642047,11.385086059570312,16.406926127834083,8.713619232177734,13.160496875047684,21304864.0,145.4459226715018,0.9258140325546264,0.8441183567047119,False,False,17731,30,14,10,64,5,relu,64,5,relu
1,168.84027099609375,240.62641446075017,12.993855476379396,15.51213764961974,9.941049575805664,11.804845077991486,24906976.0,149.19407675596344,0.9040321707725524,0.8606574535369873,False,True,17731,30,14,10,64,5,sigmoid,64,5,relu
1,149.58937072753906,234.15702184421812,12.230673789978027,15.302190099597448,9.34931182861328,12.126885228157043,24502174.0,145.01535054307195,0.9143850803375244,0.8644037246704102,False,False,17731,30,14,10,64,5,sigmoid,64,5,relu
1,102.4336395263672,222.6312601974104,10.12095069885254,14.920833093276338,7.746778964996338,11.729402777552604,22057326.0,142.75037282477166,0.9417771100997924,0.8710781335830688,False,True,17731,30,14,10,64,5,tanh,64,5,relu
1,89.03960418701172,258.5134625402914,9.436079978942873,16.078353850450345,7.23963737487793,12.545637521743776,21671752.0,145.55627855728304,0.9490398168563844,0.8502993583679199,False,False,17731,30,14,10,64,5,tanh,64,5,relu
1,107.7479019165039,237.2754335839024,10.380168914794922,15.40374738769441,8.1119384765625,11.698539160192013,33647676.0,144.21041281715415,0.9387567639350892,0.8625979423522949,False,True,17731,30,14,10,128,5,relu,64,5,relu
1,110.66861724853516,262.78882818894755,10.519915580749512,16.210762726933844,8.193660736083984,12.896441533565522,36180364.0,143.38173084937432,0.9366608262062072,0.8478235602378845,False,False,17731,30,14,10,128,5,relu,64,5,relu
1,164.02410888671875,245.30798408400372,12.80718994140625,15.66231094328049,9.807838439941406,12.3432122990489,25210928.0,143.9435041644502,0.906769335269928,0.8579463958740234,False,True,17731,30,14,10,128,5,sigmoid,64,5,relu
1,150.84913635253906,234.73427328395027,12.282065391540527,15.321040215466777,9.33795166015625,11.723426842689516,22804422.0,149.58555486833214,0.9136642217636108,0.8640694618225098,False,False,17731,30,14,10,128,5,sigmoid,64,5,relu
1,91.33942413330078,245.78535475202355,9.55716609954834,15.677543007500365,7.341032028198242,12.533251470923425,22500070.0,141.892472493387,0.9480831027030944,0.8576700091362,False,True,17731,30,14,10,128,5,tanh,64,5,relu
1,72.6933364868164,241.3049882513376,8.526039123535156,15.533994600595738,6.536024570465088,12.038281333446502,20612046.0,145.33465977507925,0.9583953619003296,0.8602645397186279,False,False,17731,30,14,10,128,5,tanh,64,5,relu
1,95.19239044189452,277.19333801983925,9.756658554077148,16.649124241828435,7.491443157196045,13.076977447867394,31311956.0,149.66919045485218,0.945893168449402,0.8394821882247925,False,True,17731,30,14,20,32,5,relu,64,5,relu
1,91.88898468017578,317.6562513046607,9.585874557495115,17.822913659238232,7.392279148101807,13.63670733809471,27670136.0,143.71635150646074,0.9474090933799744,0.8160507678985596,False,False,17731,30,14,20,32,5,relu,64,5,relu
1,126.53742218017578,239.8516705969275,11.24888515472412,15.487145334015803,8.604809761047363,11.849910612106322,21052952.0,152.10976045224757,0.9280769228935242,0.8611060976982117,False,True,17731,30,14,20,32,5,sigmoid,64,5,relu
1,120.8727798461914,241.6572790639662,10.994215965270996,15.545329815219946,8.42772102355957,12.354495696164667,17935064.0,143.42628302090336,0.9308207035064696,0.860060453414917,False,False,17731,30,14,20,32,5,sigmoid,64,5,relu
1,72.67620086669922,295.2510638474325,8.525033950805664,17.182871234093344,6.522287368774414,13.339718489646913,24189242.0,147.29288683717502,0.9586913585662842,0.8290252685546875,False,True,17731,30,14,20,32,5,tanh,64,5,relu
1,58.89493179321289,297.8706381286096,7.674303531646728,17.258929228912482,5.915439605712891,13.059778653383256,21124220.0,147.924426396126,0.9662925601005554,0.8275083303451538,False,False,17731,30,14,20,32,5,tanh,64,5,relu
1,84.46289825439453,300.1861549787218,9.190369606018066,17.325881073663233,6.91587495803833,13.635804624557496,19929852.0,152.94921844474442,0.9519916772842408,0.8261674642562866,False,True,17731,30,14,20,64,5,relu,64,5,relu
1,69.15836334228516,309.0550388257827,8.316150665283203,17.579961286242433,6.25365161895752,13.653075036257505,16276966.0,148.2466024114727,0.9604185223579408,0.8210316300392151,False,False,17731,30,14,20,64,5,relu,64,5,relu
1,139.5182342529297,244.4234376689413,11.81178379058838,15.63404738603991,9.017189025878906,12.423854711055755,17528210.0,148.6072769234354,0.920698583126068,0.8584586381912231,False,True,17731,30,14,20,64,5,sigmoid,64,5,relu
1,110.62934112548828,232.7249130488889,10.518048286437988,15.255324088621943,7.966268539428711,11.995271910429,14658257.0,148.1080169845604,0.9366834163665771,0.8652330636978149,False,False,17731,30,14,20,64,5,sigmoid,64,5,relu
1,47.4024772644043,258.0852607874557,6.884945869445801,16.065032237361237,5.295498371124268,12.583732689619064,21262084.0,150.34567923635203,0.9730566740036012,0.8505473136901855,False,True,17731,30,14,20,64,5,tanh,64,5,relu
1,40.07674407958984,284.0310504269492,6.3306193351745605,16.85322077310296,4.880448341369629,13.17271591067314,17868698.0,148.9123976932195,0.9770627617836,0.8355225920677185,False,False,17731,30,14,20,64,5,tanh,64,5,relu
1,71.50900268554688,285.2570360395061,8.456299781799316,16.889554050936518,6.608550548553467,13.400549696683884,37003984.0,145.86883824639034,0.9593546390533448,0.8348126411437988,False,True,17731,30,14,20,128,5,relu,64,5,relu
1,49.910831451416016,285.40297226955744,7.064759731292725,16.8938738088562,5.355834484100342,13.423731541633606,18466788.0,149.33049802511763,0.971434473991394,0.8347281217575073,False,False,17731,30,14,20,128,5,relu,64,5,relu
